ground_truth,cpu_percent,memory_percent,memory_available_mb,disk_write_mbps,z_cpu,z_mem,z_memavl,z_disk,rolling_mean_cpu,cpu_rate_of_change,mem_drop_rate,disk_burst_flag,pem_score,pem_status,md_score,md_status,fault_type,severity_level
0,1.8,43.9,8869.6,0.01,0.0977,1.3051,1.2953,0.1273,1.42,0.4,0.4,0,0.5277,NORMAL,1.4205,NORMAL,UNKNOWN,NORMAL
0,1.9,43.9,8869.4,0.05,0.1442,1.3051,1.2964,0.1191,1.52,0.1,0.2,0,0.5442,NORMAL,1.4064,NORMAL,UNKNOWN,NORMAL
0,1.5,43.9,8870.5,0.002,0.0419,1.3051,1.2905,0.129,1.6,-0.4,-1.1,0,0.5058,NORMAL,1.5018,NORMAL,UNKNOWN,NORMAL
0,2.0,43.9,8870.2,0.036,0.1907,1.3051,1.2921,0.122,1.72,0.5,0.3,0,0.5636,NORMAL,1.4658,NORMAL,UNKNOWN,NORMAL
0,2.1,43.9,8872.6,0.037,0.2372,1.3051,1.2792,0.1218,1.86,0.1,-2.4,0,0.5821,NORMAL,1.7549,NORMAL,UNKNOWN,NORMAL
0,1.7,43.9,8870.4,0.002,0.0512,1.3051,1.291,0.129,1.84,-0.4,2.2,0,0.5095,NORMAL,1.485,NORMAL,UNKNOWN,NORMAL
0,1.4,43.9,8869.9,0.031,0.0884,1.3051,1.2937,0.123,1.74,-0.3,0.5,0,0.5229,NORMAL,1.455,NORMAL,UNKNOWN,NORMAL
0,1.7,43.9,8870.4,0.023,0.0512,1.3051,1.291,0.1246,1.78,0.3,-0.5,0,0.5084,NORMAL,1.4839,NORMAL,UNKNOWN,NORMAL
0,1.7,43.9,8871.3,0.012,0.0512,1.3051,1.2862,0.1269,1.72,0.0,-0.9,0,0.509,NORMAL,1.5798,NORMAL,UNKNOWN,NORMAL
0,2.0,43.8,8885.1,0.015,0.1907,1.2203,1.2117,0.1263,1.7,0.3,-13.8,0,0.535,NORMAL,1.3277,NORMAL,UNKNOWN,NORMAL
0,1.7,43.8,8887.2,0.013,0.0512,1.2203,1.2004,0.1267,1.7,-0.3,-2.1,0,0.4793,NORMAL,1.531,NORMAL,UNKNOWN,NORMAL
0,1.6,43.8,8886.5,0.045,0.0047,1.2203,1.2042,0.1201,1.74,-0.1,0.7,0,0.459,NORMAL,1.448,NORMAL,UNKNOWN,NORMAL
0,1.7,43.8,8886.9,0.005,0.0512,1.2203,1.202,0.1283,1.74,0.1,-0.4,0,0.4797,NORMAL,1.4936,NORMAL,UNKNOWN,NORMAL
0,1.4,43.8,8888.2,0.036,0.0884,1.2203,1.195,0.122,1.68,-0.3,-1.3,0,0.493,NORMAL,1.6849,NORMAL,UNKNOWN,NORMAL
0,1.9,43.8,8888.4,0.026,0.1442,1.2203,1.1939,0.124,1.66,0.5,-0.2,0,0.5158,NORMAL,1.7017,NORMAL,UNKNOWN,NORMAL
0,1.4,43.8,8887.5,0.0,0.0884,1.2203,1.1988,0.1294,1.6,-0.5,0.9,0,0.4948,NORMAL,1.5848,NORMAL,UNKNOWN,NORMAL
0,2.3,43.8,8888.2,0.022,0.3302,1.2203,1.195,0.1248,1.74,0.9,-0.7,0,0.5904,NORMAL,1.684,NORMAL,UNKNOWN,NORMAL
0,1.2,43.8,8889.4,0.015,0.1814,1.2203,1.1886,0.1263,1.64,-1.1,-1.2,0,0.5312,NORMAL,1.8956,NORMAL,UNKNOWN,NORMAL
0,1.6,43.7,8894.1,0.04,0.0047,1.1356,1.1632,0.1211,1.68,0.4,-4.7,0,0.4393,NORMAL,1.735,NORMAL,UNKNOWN,NORMAL
0,2.6,43.8,8880.0,0.042,0.4698,1.2203,1.2393,0.1207,1.82,1.0,14.1,0,0.6518,NORMAL,1.6074,NORMAL,UNKNOWN,NORMAL
0,1.7,43.9,8870.5,0.111,0.0512,1.3051,1.2905,0.1066,1.88,-0.9,9.5,0,0.5039,NORMAL,1.4887,NORMAL,UNKNOWN,NORMAL
0,4.7,44.2,8815.9,13.404,1.4465,1.5593,1.585,2.623,2.36,3.0,54.6,0,1.7891,WARNING,3.1436,WARNING,UNKNOWN,NORMAL
0,6.0,45.0,8695.6,72.538,2.0512,2.2373,2.2338,14.7655,3.32,1.3,120.3,0,5.2949,ANOMALY,14.8416,ANOMALY,UNKNOWN,CRITICAL
0,6.0,44.2,8819.2,11.979,2.0512,1.5593,1.5672,2.3304,4.2,0.0,-123.6,0,1.9516,WARNING,2.9983,WARNING,UNKNOWN,NORMAL
0,2.7,44.1,8838.6,7.656,0.5163,1.4746,1.4625,1.4427,4.22,-3.3,-19.4,0,1.0833,NORMAL,1.9486,NORMAL,UNKNOWN,NORMAL
0,5.0,44.1,8830.5,6.439,1.586,1.4746,1.5062,1.1928,4.88,2.3,8.1,0,1.4598,NORMAL,2.5802,WARNING,UNKNOWN,NORMAL
0,1.8,44.0,8850.3,4.029,0.0977,1.3898,1.3994,0.6979,4.3,-3.2,-19.8,0,0.7033,NORMAL,1.5263,NORMAL,UNKNOWN,NORMAL
0,1.9,43.8,8876.9,4.389,0.1442,1.2203,1.256,0.7719,3.48,0.1,-26.6,0,0.6903,NORMAL,2.0722,NORMAL,UNKNOWN,NORMAL
0,2.2,43.7,8893.4,3.584,0.2837,1.1356,1.167,0.6066,2.72,0.3,-16.5,0,0.6736,NORMAL,1.8465,NORMAL,UNKNOWN,NORMAL
0,2.2,43.6,8906.4,2.4,0.2837,1.0508,1.0969,0.3634,2.62,0.0,-13.0,0,0.5882,NORMAL,2.3177,NORMAL,UNKNOWN,NORMAL
0,1.7,43.6,8920.4,2.424,0.0512,1.0508,1.0214,0.3684,1.96,-0.5,-14.0,0,0.4804,NORMAL,1.6704,NORMAL,UNKNOWN,NORMAL
0,2.6,43.4,8944.0,2.027,0.4698,0.8814,0.8941,0.2869,2.12,0.9,-23.6,0,0.5726,NORMAL,1.1185,NORMAL,UNKNOWN,NORMAL
0,1.8,43.3,8966.3,1.321,0.0977,0.7966,0.7738,0.1419,2.1,-0.8,-22.3,0,0.3534,NORMAL,1.2697,NORMAL,UNKNOWN,NORMAL
0,1.3,43.2,8976.6,1.599,0.1349,0.7119,0.7182,0.199,1.92,-0.5,-10.3,0,0.3551,NORMAL,0.8079,NORMAL,UNKNOWN,NORMAL
0,0.8,43.1,8995.7,4.123,0.3674,0.6271,0.6152,0.7172,1.64,-0.5,-19.1,0,0.5457,NORMAL,1.18,NORMAL,UNKNOWN,NORMAL
0,1.0,43.1,8997.5,0.056,0.2744,0.6271,0.6055,0.1179,1.5,0.2,-1.8,0,0.3587,NORMAL,1.2053,NORMAL,UNKNOWN,NORMAL
0,1.4,43.0,9003.5,0.018,0.0884,0.5424,0.5732,0.1257,1.26,0.4,-6.0,0,0.2674,NORMAL,1.5002,NORMAL,UNKNOWN,NORMAL
0,2.0,43.0,9005.9,0.039,0.1907,0.5424,0.5602,0.1214,1.3,0.6,-2.4,0,0.3027,NORMAL,1.0181,NORMAL,UNKNOWN,NORMAL
0,1.2,43.0,9008.6,0.041,0.1814,0.5424,0.5457,0.1209,1.28,-0.8,-2.7,0,0.2938,NORMAL,0.6499,NORMAL,UNKNOWN,NORMAL
0,1.1,43.0,9008.8,0.11,0.2279,0.5424,0.5446,0.1068,1.34,-0.1,-0.2,0,0.3085,NORMAL,0.6535,NORMAL,UNKNOWN,NORMAL
0,1.7,43.0,9010.9,0.061,0.0512,0.5424,0.5333,0.1168,1.48,0.6,-2.1,0,0.2395,NORMAL,0.7066,NORMAL,UNKNOWN,NORMAL
0,1.2,43.0,9008.4,0.068,0.1814,0.5424,0.5467,0.1154,1.44,-0.5,2.5,0,0.2928,NORMAL,0.6611,NORMAL,UNKNOWN,NORMAL
0,1.0,43.0,9008.7,0.053,0.2744,0.5424,0.5451,0.1185,1.24,-0.2,-0.3,0,0.3302,NORMAL,0.6813,NORMAL,UNKNOWN,NORMAL
0,1.0,43.0,9015.1,0.054,0.2744,0.5424,0.5106,0.1183,1.2,0.0,-6.4,0,0.3292,NORMAL,1.5488,NORMAL,UNKNOWN,NORMAL
0,0.9,43.0,9014.5,0.067,0.3209,0.5424,0.5138,0.1156,1.16,-0.1,0.6,0,0.3471,NORMAL,1.4337,NORMAL,UNKNOWN,NORMAL
0,0.7,43.0,9015.6,0.028,0.414,0.5424,0.5079,0.1236,0.96,-0.2,-1.1,0,0.3863,NORMAL,1.6944,NORMAL,UNKNOWN,NORMAL
0,0.9,43.0,9016.8,0.048,0.3209,0.5424,0.5014,0.1195,0.9,0.2,-1.2,0,0.3481,NORMAL,1.9317,NORMAL,UNKNOWN,NORMAL
0,1.3,42.9,9019.3,0.026,0.1349,0.4576,0.4879,0.124,0.96,0.4,-2.5,0,0.2557,NORMAL,1.4485,NORMAL,UNKNOWN,NORMAL
0,0.9,42.9,9018.9,0.026,0.3209,0.4576,0.4901,0.124,0.94,-0.4,0.4,0,0.3309,NORMAL,1.5628,NORMAL,UNKNOWN,NORMAL
0,1.6,42.9,9019.4,0.031,0.0047,0.4576,0.4874,0.123,1.08,0.7,-0.5,0,0.2032,NORMAL,1.422,NORMAL,UNKNOWN,NORMAL
0,1.3,42.9,9020.4,0.016,0.1349,0.4576,0.482,0.1261,1.2,-0.3,-1.0,0,0.2542,NORMAL,1.2094,NORMAL,UNKNOWN,NORMAL
0,1.3,42.9,9021.5,0.027,0.1349,0.4576,0.4761,0.1238,1.28,0.0,-1.1,0,0.2515,NORMAL,0.9809,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9021.4,0.089,0.1814,0.4576,0.4766,0.1111,1.26,-0.1,0.1,0,0.2671,NORMAL,1.0055,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9021.2,0.041,0.1814,0.4576,0.4777,0.1209,1.32,0.0,0.2,0,0.27,NORMAL,1.0478,NORMAL,UNKNOWN,NORMAL
0,0.8,42.9,9021.3,0.016,0.3674,0.4576,0.4772,0.1261,1.16,-0.4,-0.1,0,0.3455,NORMAL,1.0782,NORMAL,UNKNOWN,NORMAL
0,0.8,42.9,9022.2,0.005,0.3674,0.4576,0.4723,0.1283,1.06,0.0,-0.9,0,0.3443,NORMAL,0.9163,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9022.8,0.014,0.2279,0.4576,0.4691,0.1265,1.02,0.3,-0.6,0,0.287,NORMAL,0.7655,NORMAL,UNKNOWN,NORMAL
0,1.3,42.9,9023.4,0.002,0.1349,0.4576,0.4658,0.129,1.04,0.2,-0.6,0,0.2492,NORMAL,0.6518,NORMAL,UNKNOWN,NORMAL
0,0.8,42.9,9024.6,0.015,0.3674,0.4576,0.4594,0.1263,0.96,-0.5,-1.2,0,0.3393,NORMAL,0.652,NORMAL,UNKNOWN,NORMAL
0,1.0,42.9,9026.4,0.084,0.2744,0.4576,0.4497,0.1121,1.0,0.2,-1.8,0,0.2979,NORMAL,0.6856,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9026.6,0.035,0.1814,0.4576,0.4486,0.1222,1.08,0.2,-0.2,0,0.2633,NORMAL,0.6762,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9026.7,0.037,0.2279,0.4576,0.448,0.1218,1.08,-0.1,-0.1,0,0.2818,NORMAL,0.707,NORMAL,UNKNOWN,NORMAL
0,1.4,42.9,9027.7,0.04,0.0884,0.4576,0.4426,0.1211,1.1,0.3,-1.0,0,0.2258,NORMAL,0.8348,NORMAL,UNKNOWN,NORMAL
0,0.8,42.9,9028.4,0.018,0.3674,0.4576,0.4389,0.1257,1.1,-0.6,-0.7,0,0.3385,NORMAL,1.0514,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9027.1,0.021,0.2279,0.4576,0.4459,0.1251,1.12,0.3,1.3,0,0.2826,NORMAL,0.768,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9027.4,0.038,0.1814,0.4576,0.4443,0.1216,1.12,0.1,-0.3,0,0.2631,NORMAL,0.802,NORMAL,UNKNOWN,NORMAL
0,1.3,42.9,9027.4,0.016,0.1349,0.4576,0.4443,0.1261,1.16,0.1,0.0,0,0.2456,NORMAL,0.7909,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9027.7,0.02,0.1814,0.4576,0.4426,0.1253,1.12,-0.1,-0.3,0,0.264,NORMAL,0.8562,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9027.6,0.025,0.1814,0.4576,0.4432,0.1242,1.2,0.0,0.1,0,0.2638,NORMAL,0.8379,NORMAL,UNKNOWN,NORMAL
0,0.8,42.9,9027.9,0.015,0.3674,0.4576,0.4416,0.1263,1.14,-0.4,-0.3,0,0.3387,NORMAL,0.9604,NORMAL,UNKNOWN,NORMAL
0,1.0,42.9,9030.2,0.0,0.2744,0.4576,0.4292,0.1294,1.1,0.2,-2.3,0,0.3023,NORMAL,1.3875,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9030.0,0.048,0.2279,0.4576,0.4302,0.1195,1.06,0.1,0.2,0,0.2812,NORMAL,1.3322,NORMAL,UNKNOWN,NORMAL
0,0.7,42.9,9030.1,0.045,0.414,0.4576,0.4297,0.1201,0.96,-0.4,-0.1,0,0.3558,NORMAL,1.4082,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9029.1,0.021,0.2279,0.4576,0.4351,0.1251,0.94,0.4,1.0,0,0.2826,NORMAL,1.1428,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9030.1,0.002,0.2279,0.4576,0.4297,0.129,1.0,0.0,-1.0,0,0.2836,NORMAL,1.3547,NORMAL,UNKNOWN,NORMAL
0,1.6,42.9,9030.1,0.032,0.0047,0.4576,0.4297,0.1228,1.12,0.5,0.0,0,0.1927,NORMAL,1.3226,NORMAL,UNKNOWN,NORMAL
0,1.0,42.9,9030.8,0.019,0.2744,0.4576,0.4259,0.1255,1.1,-0.6,-0.7,0,0.3013,NORMAL,1.5174,NORMAL,UNKNOWN,NORMAL
0,0.7,42.9,9031.7,0.021,0.414,0.4576,0.4211,0.1251,1.1,-0.3,-0.9,0,0.357,NORMAL,1.7521,NORMAL,UNKNOWN,NORMAL
0,1.0,42.9,9031.8,0.025,0.2744,0.4576,0.4205,0.1242,1.08,0.3,-0.1,0,0.301,NORMAL,1.739,NORMAL,UNKNOWN,NORMAL
0,2.1,42.9,9028.3,0.096,0.2372,0.4576,0.4394,0.1097,1.28,1.1,3.5,0,0.2825,NORMAL,0.9579,NORMAL,UNKNOWN,NORMAL
0,0.7,42.9,9021.1,0.032,0.414,0.4576,0.4782,0.1228,1.1,-1.4,7.2,0,0.3637,NORMAL,1.1327,NORMAL,UNKNOWN,NORMAL
0,1.2,42.9,9020.8,0.108,0.1814,0.4576,0.4799,0.1072,1.14,0.5,0.3,0,0.2673,NORMAL,1.1274,NORMAL,UNKNOWN,NORMAL
0,0.6,42.9,9022.7,0.021,0.4605,0.4576,0.4696,0.1251,1.12,-0.6,-1.9,0,0.3798,NORMAL,0.8832,NORMAL,UNKNOWN,NORMAL
0,0.9,42.9,9021.9,0.026,0.3209,0.4576,0.4739,0.124,1.1,0.3,0.8,0,0.3252,NORMAL,0.95,NORMAL,UNKNOWN,NORMAL
0,0.9,42.9,9022.6,0.035,0.3209,0.4576,0.4701,0.1222,0.86,0.0,-0.7,0,0.3234,NORMAL,0.8302,NORMAL,UNKNOWN,NORMAL
0,0.9,42.9,9024.1,0.048,0.3209,0.4576,0.4621,0.1195,0.9,0.0,-1.5,0,0.32,NORMAL,0.6482,NORMAL,UNKNOWN,NORMAL
0,1.1,42.9,9023.8,0.005,0.2279,0.4576,0.4637,0.1283,0.88,0.2,0.3,0,0.2855,NORMAL,0.633,NORMAL,UNKNOWN,NORMAL
0,3.0,43.1,8995.1,0.011,0.6558,0.6271,0.6185,0.1271,1.36,1.9,28.7,0,0.5136,NORMAL,0.993,NORMAL,UNKNOWN,NORMAL
0,1.8,42.3,9125.4,0.037,0.0977,0.0508,0.0843,0.1218,1.54,-1.2,-130.3,0,0.099,NORMAL,1.4904,NORMAL,UNKNOWN,NORMAL
0,1.1,42.3,9122.8,0.064,0.2279,0.0508,0.0703,0.1162,1.58,-0.7,2.6,0,0.1448,NORMAL,0.9042,NORMAL,UNKNOWN,NORMAL
0,1.0,42.3,9126.9,0.001,0.2744,0.0508,0.0924,0.1292,1.6,-0.1,-4.1,0,0.1744,NORMAL,1.8711,NORMAL,UNKNOWN,NORMAL
0,3.6,42.3,9119.4,0.091,0.9349,0.0508,0.0519,0.1107,2.1,2.6,7.5,0,0.4198,NORMAL,0.9934,NORMAL,UNKNOWN,NORMAL
0,1.3,42.3,9125.9,0.019,0.1349,0.0508,0.087,0.1255,1.76,-2.3,-6.5,0,0.1158,NORMAL,1.6154,NORMAL,UNKNOWN,NORMAL
0,0.9,42.2,9141.6,0.001,0.3209,0.1356,0.1717,0.1292,1.58,-0.4,-15.7,0,0.2208,NORMAL,1.648,NORMAL,UNKNOWN,NORMAL
0,0.9,42.2,9139.7,0.019,0.3209,0.1356,0.1614,0.1255,1.54,0.0,1.9,0,0.2162,NORMAL,1.2088,NORMAL,UNKNOWN,NORMAL
0,0.6,42.2,9141.1,0.037,0.4605,0.1356,0.169,0.1218,1.46,-0.3,-1.4,0,0.2738,NORMAL,1.5701,NORMAL,UNKNOWN,NORMAL
0,1.1,42.2,9140.3,0.006,0.2279,0.1356,0.1647,0.1281,0.96,0.5,0.8,0,0.1808,NORMAL,1.3259,NORMAL,UNKNOWN,NORMAL
0,1.1,42.2,9141.6,0.027,0.2279,0.1356,0.1717,0.1238,0.92,0.0,-1.3,0,0.1822,NORMAL,1.6306,NORMAL,UNKNOWN,NORMAL
0,3.6,41.1,9305.3,2.787,0.9349,1.0678,1.0546,0.4429,1.46,2.5,-163.7,0,0.8584,NORMAL,1.6897,NORMAL,UNKNOWN,NORMAL
0,0.9,41.1,9304.7,0.018,0.3209,1.0678,1.0513,0.1257,1.46,-2.7,0.6,0,0.5335,NORMAL,1.2808,NORMAL,UNKNOWN,NORMAL
0,2.0,41.1,9306.9,0.025,0.1907,1.0678,1.0632,0.1242,1.74,1.1,-2.2,0,0.4811,NORMAL,1.1316,NORMAL,UNKNOWN,NORMAL
0,1.6,41.1,9303.9,0.074,0.0047,1.0678,1.047,0.1142,1.84,-0.4,3.0,0,0.4042,NORMAL,1.3892,NORMAL,UNKNOWN,NORMAL
0,0.9,41.1,9305.2,0.002,0.3209,1.0678,1.054,0.129,1.8,-0.7,-1.3,0,0.5343,NORMAL,1.2223,NORMAL,UNKNOWN,NORMAL
0,1.0,41.1,9304.3,0.044,0.2744,1.0678,1.0492,0.1203,1.28,0.1,0.9,0,0.5136,NORMAL,1.3282,NORMAL,UNKNOWN,NORMAL
0,1.2,41.1,9304.7,0.03,0.1814,1.0678,1.0513,0.1232,1.34,0.2,-0.4,0,0.4771,NORMAL,1.2689,NORMAL,UNKNOWN,NORMAL
0,1.0,41.1,9304.4,0.012,0.2744,1.0678,1.0497,0.1269,1.14,-0.2,0.3,0,0.5152,NORMAL,1.314,NORMAL,UNKNOWN,NORMAL
0,0.9,41.1,9306.0,0.028,0.3209,1.0678,1.0584,0.1236,1.0,-0.1,-1.6,0,0.533,NORMAL,1.1494,NORMAL,UNKNOWN,NORMAL
0,0.9,41.1,9304.6,0.035,0.3209,1.0678,1.0508,0.1222,1.0,0.0,1.4,0,0.5326,NORMAL,1.2938,NORMAL,UNKNOWN,NORMAL
0,0.8,41.1,9304.7,0.021,0.3674,1.0678,1.0513,0.1251,0.96,-0.1,-0.1,0,0.552,NORMAL,1.2884,NORMAL,UNKNOWN,NORMAL
0,1.1,41.1,9304.7,0.032,0.2279,1.0678,1.0513,0.1228,0.94,0.3,0.0,0,0.4956,NORMAL,1.2712,NORMAL,UNKNOWN,NORMAL
0,1.0,41.1,9306.7,0.002,0.2744,1.0678,1.0621,0.129,0.94,-0.1,-2.0,0,0.5157,NORMAL,1.1002,NORMAL,UNKNOWN,NORMAL
0,1.5,41.1,9307.2,0.063,0.0419,1.0678,1.0648,0.1164,1.06,0.5,-0.5,0,0.4196,NORMAL,1.0792,NORMAL,UNKNOWN,NORMAL
0,1.2,41.1,9307.4,0.006,0.1814,1.0678,1.0659,0.1281,1.12,-0.3,-0.2,0,0.4783,NORMAL,1.0736,NORMAL,UNKNOWN,NORMAL
0,0.7,41.1,9307.2,0.037,0.414,1.0678,1.0648,0.1218,1.1,-0.5,0.2,0,0.5698,NORMAL,1.1153,NORMAL,UNKNOWN,NORMAL
0,0.8,41.1,9309.3,0.03,0.3674,1.0678,1.0762,0.1232,1.04,0.1,-2.1,0,0.5544,NORMAL,1.1802,NORMAL,UNKNOWN,NORMAL
0,1.1,41.1,9308.1,0.004,0.2279,1.0678,1.0697,0.1285,1.06,0.3,1.2,0,0.4977,NORMAL,1.0851,NORMAL,UNKNOWN,NORMAL
0,0.8,41.1,9308.0,0.0,0.3674,1.0678,1.0691,0.1294,0.92,-0.3,0.1,0,0.5535,NORMAL,1.1061,NORMAL,UNKNOWN,NORMAL
0,0.6,41.1,9308.0,0.006,0.4605,1.0678,1.0691,0.1281,0.8,-0.2,0.0,0,0.5904,NORMAL,1.132,NORMAL,UNKNOWN,NORMAL
0,1.4,41.1,9306.1,0.037,0.0884,1.0678,1.0589,0.1218,0.94,0.8,1.9,0,0.4395,NORMAL,1.1271,NORMAL,UNKNOWN,NORMAL
0,1.0,41.1,9305.2,0.048,0.2744,1.0678,1.054,0.1195,0.98,-0.4,0.9,0,0.5134,NORMAL,1.2169,NORMAL,UNKNOWN,NORMAL
0,0.6,41.1,9304.8,0.023,0.4605,1.0678,1.0519,0.1246,0.88,-0.4,0.4,0,0.5891,NORMAL,1.2968,NORMAL,UNKNOWN,NORMAL
0,1.1,41.1,9304.9,0.035,0.2279,1.0678,1.0524,0.1222,0.94,0.5,-0.1,0,0.4954,NORMAL,1.2466,NORMAL,UNKNOWN,NORMAL
0,1.1,41.1,9305.0,0.007,0.2279,1.0678,1.053,0.1279,1.04,0.0,-0.1,0,0.4969,NORMAL,1.2343,NORMAL,UNKNOWN,NORMAL
0,1.1,41.1,9304.6,0.054,0.2279,1.0678,1.0508,0.1183,0.98,0.0,0.4,0,0.4945,NORMAL,1.2843,NORMAL,UNKNOWN,NORMAL
